Identifier,Evaluation,Tricked,2-Norm for Adv.-Image,Class,filename,match_count
MIFGSM,1991,True,9.827160835266112,39,SCP Default.csv,
MIFGSM,885,True,9.501789093017578,17,SCP Default.csv,
MIFGSM,2223,True,9.166999816894531,44,SCP Default.csv,
MIFGSM,49943,True,9.196085929870604,998,SCP Default.csv,
MIFGSM,42010,True,9.73122787475586,840,SCP Default.csv,
MIFGSM,819,True,9.869415283203123,16,SCP Default.csv,
MIFGSM,15923,True,9.341209411621094,318,SCP Default.csv,
MIFGSM,21678,True,9.776426315307615,433,SCP Default.csv,
MIFGSM,26085,True,9.67796802520752,521,SCP Default.csv,
MIFGSM,49211,True,9.605389595031738,984,SCP Default.csv,
MIFGSM,12664,True,9.587982177734377,253,SCP Default.csv,
MIFGSM,34350,True,10.011316299438477,687,SCP Default.csv,
MIFGSM,19658,True,10.258774757385254,393,SCP Default.csv,
RFGSM,31502,True,9.650652885437012,630,SCP Default.csv,
RFGSM,33014,True,9.628589630126951,660,SCP Default.csv,
RFGSM,34638,True,9.481081008911133,692,SCP Default.csv,
RFGSM,29785,True,9.707100868225098,595,SCP Default.csv,
RFGSM,21816,True,9.233976364135742,436,SCP Default.csv,
RFGSM,15664,True,9.42781925201416,313,SCP Default.csv,
RFGSM,46751,True,9.176705360412598,935,SCP Default.csv,
RFGSM,37438,True,9.39919662475586,748,SCP Default.csv,
RFGSM,21503,True,9.903634071350098,430,SCP Default.csv,
RFGSM,40603,True,8.527366638183594,812,SCP Default.csv,
RFGSM,34749,True,10.154595375061035,694,SCP Default.csv,
RFGSM,46520,True,9.610182762145996,930,SCP Default.csv,
RFGSM,22878,True,9.19727897644043,457,SCP Default.csv,
RFGSM,12766,True,9.758342742919922,255,SCP Default.csv,
RFGSM,14162,True,9.372631072998049,283,SCP Default.csv,
RFGSM,13665,True,9.226635932922363,273,SCP Default.csv,
RFGSM,6405,True,10.04262351989746,128,SCP Default.csv,
RFGSM,10143,True,9.26316738128662,202,SCP Default.csv,
RFGSM,5805,True,10.153197288513184,116,SCP Default.csv,
RFGSM,14611,True,9.584025382995604,292,SCP Default.csv,
RFGSM,13075,True,9.413163185119627,261,SCP Default.csv,
RFGSM,30698,True,10.140473365783691,613,SCP Default.csv,
RFGSM,91,True,9.248682975769045,1,SCP Default.csv,
RFGSM,3993,True,9.410751342773438,79,SCP Default.csv,
RFGSM,25040,True,9.509159088134766,500,SCP Default.csv,
RFGSM,49504,True,9.720782279968262,990,SCP Default.csv,
RFGSM,30471,True,9.612940788269045,609,SCP Default.csv,
RFGSM,29886,True,9.251973152160645,597,SCP Default.csv,
RFGSM,7337,True,9.793400764465332,146,SCP Default.csv,
RFGSM,49287,True,9.9181547164917,985,SCP Default.csv,
RFGSM,1991,True,9.722476959228516,39,SCP Default.csv,
RFGSM,885,True,9.391762733459473,17,SCP Default.csv,
RFGSM,2223,True,9.034259796142578,44,SCP Default.csv,
RFGSM,49943,True,9.072025299072266,998,SCP Default.csv,
RFGSM,42010,True,9.622879028320312,840,SCP Default.csv,
RFGSM,819,True,9.75859260559082,16,SCP Default.csv,
RFGSM,15923,True,9.29239273071289,318,SCP Default.csv,
RFGSM,21678,True,9.766473770141602,433,SCP Default.csv,
RFGSM,26085,True,9.540937423706056,521,SCP Default.csv,
RFGSM,49211,True,9.43313980102539,984,SCP Default.csv,
RFGSM,12664,True,9.470451354980469,253,SCP Default.csv,
RFGSM,34350,True,9.863903045654297,687,SCP Default.csv,
RFGSM,19658,True,10.08981704711914,393,SCP Default.csv,
EOTPGD,31502,True,9.7562837600708,630,SCP Default.csv,
EOTPGD,33014,True,9.659096717834473,660,SCP Default.csv,
EOTPGD,34638,True,9.399765014648438,692,SCP Default.csv,
EOTPGD,29785,True,9.589460372924805,595,SCP Default.csv,
EOTPGD,21816,True,9.196259498596191,436,SCP Default.csv,
EOTPGD,15664,True,9.510302543640137,313,SCP Default.csv,
EOTPGD,46751,True,9.217581748962402,935,SCP Default.csv,
EOTPGD,37438,True,9.351311683654783,748,SCP Default.csv,
EOTPGD,21503,True,9.884592056274414,430,SCP Default.csv,
EOTPGD,40603,True,8.517793655395508,812,SCP Default.csv,
EOTPGD,34749,True,10.201287269592283,694,SCP Default.csv,
EOTPGD,46520,True,9.661643981933594,930,SCP Default.csv,
EOTPGD,22878,True,9.217606544494627,457,SCP Default.csv,
EOTPGD,12766,True,9.802237510681152,255,SCP Default.csv,
EOTPGD,14162,True,9.331986427307127,283,SCP Default.csv,
EOTPGD,13665,True,9.176934242248535,273,SCP Default.csv,
EOTPGD,6405,True,9.98289394378662,128,SCP Default.csv,
EOTPGD,10143,True,9.309629440307615,202,SCP Default.csv,
EOTPGD,5805,True,10.159734725952148,116,SCP Default.csv,
EOTPGD,14611,True,9.596778869628906,292,SCP Default.csv,
EOTPGD,13075,True,9.415876388549805,261,SCP Default.csv,
EOTPGD,30698,True,10.082542419433594,613,SCP Default.csv,
EOTPGD,91,True,9.265398025512695,1,SCP Default.csv,
EOTPGD,3993,True,9.400775909423828,79,SCP Default.csv,
EOTPGD,25040,True,9.502779960632324,500,SCP Default.csv,
EOTPGD,49504,True,9.799345970153809,990,SCP Default.csv,
EOTPGD,30471,True,9.594700813293455,609,SCP Default.csv,
EOTPGD,29886,True,9.294970512390137,597,SCP Default.csv,
