Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,7048,False,0.06894365698099136,140
DeepFool,30299,True,0.0,605
DeepFool,36986,False,0.3845382332801819,739
DeepFool,18212,False,0.016049792990088463,364
DeepFool,5909,False,0.0,118
DeepFool,42395,False,0.0,847
DeepFool,5343,True,0.0,106
DeepFool,21071,True,0.0,421
DeepFool,24538,False,0.39325380325317383,490
DeepFool,13170,False,0.0,263
DeepFool,22452,True,0.1714337170124054,449
DeepFool,14090,False,0.0,281
DeepFool,10226,False,0.09708082675933838,204
DeepFool,16209,False,0.0,324
DeepFool,46618,True,0.0,932
DeepFool,14037,False,0.0,280
DeepFool,11031,False,0.0,220
DeepFool,16426,False,0.5759580731391907,328
DeepFool,31724,True,0.0,634
DeepFool,8110,True,0.3360215723514557,162
DeepFool,43139,True,0.0,862
DeepFool,9493,True,0.0,189
DeepFool,27422,False,0.616988480091095,548
DeepFool,29025,False,0.01399068720638752,580
DeepFool,43743,False,0.2931259870529175,874
DeepFool,49511,False,0.01741281896829605,990
DeepFool,34107,False,0.28974348306655884,682
DeepFool,33305,False,0.4667090177536011,666
DeepFool,48828,False,0.10275012999773026,976
DeepFool,2924,False,0.0789550319314003,58
DeepFool,28008,False,0.0,560
DeepFool,28114,False,0.71534663438797,562
DeepFool,8119,False,0.029628686606884003,162
DeepFool,33152,True,0.0,663
DeepFool,40730,False,0.0,814
DeepFool,2159,False,0.04543906822800636,43
DeepFool,32546,False,0.0,650
DeepFool,4808,False,0.0,96
DeepFool,27998,True,0.0,559
DeepFool,17272,True,0.0,345
DeepFool,40825,False,0.04677429050207138,816
DeepFool,2761,True,0.0,55
DeepFool,2563,True,0.0,51
DeepFool,35947,False,0.0,718
DeepFool,37278,True,0.0,745
DeepFool,43848,False,0.0,876
DeepFool,3248,True,0.0,64
DeepFool,20921,True,0.0,418
DeepFool,24431,True,0.0,488
DeepFool,14059,False,0.0,281
DeepFool,33496,False,0.0496903695166111,669
DeepFool,15964,False,0.0,319
DeepFool,47570,False,0.0,951
DeepFool,29773,False,0.30248284339904785,595
DeepFool,21642,False,0.22233520448207855,432
DeepFool,16284,False,0.8387126922607422,325
DeepFool,27189,False,0.10437525063753128,543
DeepFool,49987,False,0.3211670517921448,999
DeepFool,22511,False,0.2849974036216736,450
DeepFool,28139,False,0.0,562
DeepFool,31369,False,0.4642680287361145,627
DeepFool,3906,False,0.47001945972442627,78
DeepFool,2192,False,0.3370521664619446,43
DeepFool,48314,False,0.0,966
DeepFool,45164,False,0.0,903
DeepFool,21809,False,0.0,436
DeepFool,13962,False,0.33773860335350037,279
DeepFool,34443,False,0.2897471785545349,688
DeepFool,4011,False,0.0,80
DeepFool,7333,False,0.03757843002676964,146
DeepFool,49302,False,0.37270456552505493,986
DeepFool,6885,True,0.0,137
DeepFool,15069,False,0.0,301
DeepFool,46986,False,0.0,939
DeepFool,41406,False,0.5784786343574524,828
DeepFool,11000,False,0.045008331537246704,220
DeepFool,37656,True,0.0,753
DeepFool,26208,False,0.0,524
DeepFool,9706,True,0.0,194
DeepFool,45263,True,0.0,905
DeepFool,3603,False,0.001125945127569139,72
DeepFool,3654,False,0.060783013701438904,73
DeepFool,44661,False,0.2724664807319641,893
DeepFool,27254,False,0.5147762894630432,545
DeepFool,9615,False,0.5411401391029358,192
DeepFool,25599,False,0.09607909619808197,511
DeepFool,47153,True,0.07661177217960358,943
DeepFool,30837,False,0.05554479733109474,616
DeepFool,46063,False,0.21438154578208923,921
DeepFool,41403,False,0.2576408386230469,828
DeepFool,7809,False,0.7787627577781677,156
DeepFool,47634,True,0.0,952
DeepFool,26125,False,0.0,522
DeepFool,35288,True,0.0,705
DeepFool,38587,False,0.10707688331604004,771
DeepFool,41470,True,0.2102360874414444,829
DeepFool,39989,False,0.2452957034111023,799
DeepFool,42106,False,0.04832898825407028,842
DeepFool,40708,True,0.0,814
DeepFool,31268,False,0.0,625
PGD,7048,fail,7.767424583435059,
PGD,30299,True,0.0,605
PGD,36986,fail,8.560312271118164,605
PGD,18212,fail,8.258563041687012,605
PGD,5909,fail,8.444478988647461,605
PGD,42395,fail,7.9819769859313965,605
PGD,5343,True,0.0,106
PGD,21071,True,0.0,421
PGD,24538,fail,8.635871887207031,421
PGD,13170,fail,8.019060134887695,421
PGD,22452,fail,8.533881187438965,421
PGD,14090,fail,8.544886589050293,421
PGD,10226,fail,8.137365341186523,421
PGD,16209,fail,8.379112243652344,421
PGD,46618,True,0.0,932
PGD,14037,fail,8.202372550964355,932
PGD,11031,fail,8.208966255187988,932
PGD,16426,fail,8.589112281799316,932
PGD,31724,True,0.0,634
PGD,8110,fail,8.116772651672363,634
PGD,43139,True,0.0,862
PGD,9493,True,0.0,189
PGD,27422,fail,8.413703918457031,189
PGD,29025,fail,8.666850090026855,189
