Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,2772,False,0.8636702299118042,5
DeepFool,1954,False,0.0,5
DeepFool,5980,False,1.2156342267990112,0
DeepFool,1662,False,1.0502474308013916,6
DeepFool,779,False,0.6320717334747314,5
DeepFool,8976,False,1.1767723560333252,1
DeepFool,6064,False,0.08669085055589676,2
DeepFool,640,False,1.164528727531433,1
DeepFool,5915,fail,1.5931555032730103,1
DeepFool,929,fail,1.5987370014190674,1
DeepFool,9834,False,0.15145353972911835,8
DeepFool,8653,False,0.39185816049575806,5
DeepFool,9960,False,1.0931986570358276,4
DeepFool,1391,False,0.961729109287262,4
DeepFool,1057,False,0.17340075969696045,4
DeepFool,5033,False,0.7486552000045776,0
DeepFool,6791,False,0.44631898403167725,7
DeepFool,1978,False,0.9187496304512024,4
DeepFool,1262,False,0.0,2
DeepFool,366,False,0.45167025923728943,6
DeepFool,8677,False,1.084287405014038,6
DeepFool,7028,False,0.8122377991676331,7
DeepFool,8117,fail,1.6808974742889404,7
DeepFool,1829,fail,1.804038643836975,7
DeepFool,8683,False,0.28171995282173157,2
DeepFool,1164,True,0.8011516332626343,7
DeepFool,7580,False,0.09450370818376541,9
DeepFool,3536,False,0.9866121411323547,0
DeepFool,2358,False,1.2508858442306519,1
DeepFool,2525,False,0.24152988195419312,5
DeepFool,2012,False,1.3609495162963867,4
DeepFool,9163,False,0.4001709222793579,3
DeepFool,1573,False,0.0,8
DeepFool,9498,fail,1.8135789632797241,8
DeepFool,8904,fail,1.4371906518936157,8
DeepFool,5416,False,1.2134060859680176,1
DeepFool,7445,False,0.7852124571800232,7
DeepFool,3519,False,0.38400283455848694,8
DeepFool,9952,False,1.203879714012146,0
DeepFool,9139,False,0.0,8
DeepFool,2056,False,0.21287423372268677,8
DeepFool,7079,False,1.2479240894317627,7
DeepFool,8153,False,0.0,2
DeepFool,8488,fail,1.9120970964431763,2
DeepFool,5810,False,0.87068110704422,6
DeepFool,3412,False,0.45486459136009216,0
DeepFool,6439,False,0.8621464371681213,2
DeepFool,9638,False,0.0,9
DeepFool,9229,False,0.0,3
DeepFool,2354,False,0.39440757036209106,2
DeepFool,9413,False,0.2892743647098541,7
DeepFool,371,False,0.08142970502376556,2
DeepFool,3019,False,1.024144172668457,1
DeepFool,8228,False,0.6318625807762146,0
DeepFool,8901,False,0.39226922392845154,6
DeepFool,9733,False,0.0,9
DeepFool,3549,False,0.08443805575370789,3
DeepFool,8883,False,0.848397433757782,7
DeepFool,1681,False,0.0,3
DeepFool,777,fail,1.8554880619049072,3
DeepFool,8217,False,0.44595280289649963,8
DeepFool,8816,False,0.0,8
DeepFool,4832,False,0.4664779305458069,6
DeepFool,8456,False,0.6929637789726257,8
DeepFool,8911,False,0.8143790364265442,7
DeepFool,9615,False,0.8483465313911438,4
DeepFool,6362,True,1.3921467065811157,4
DeepFool,3252,False,0.6513482332229614,6
DeepFool,7524,False,0.0,8
DeepFool,1692,fail,1.4791162014007568,8
DeepFool,424,False,1.290121078491211,0
DeepFool,2009,False,0.03999714180827141,9
DeepFool,425,False,0.8532670140266418,4
DeepFool,332,fail,1.762546420097351,4
DeepFool,5090,False,0.8593257665634155,1
DeepFool,5952,False,0.8236083388328552,0
DeepFool,5162,False,0.72308748960495,7
DeepFool,5307,False,1.0552189350128174,0
DeepFool,9577,False,0.0,2
DeepFool,6555,False,0.02411554381251335,8
DeepFool,8262,False,0.0,2
DeepFool,24,False,0.6200639605522156,4
DeepFool,9531,False,0.5519580245018005,6
DeepFool,8340,fail,1.4678767919540405,6
DeepFool,2475,False,0.26836010813713074,2
DeepFool,2351,False,0.0,3
DeepFool,1622,False,0.8710193634033203,9
DeepFool,1462,False,0.0,2
DeepFool,1470,False,0.4424959719181061,8
DeepFool,2,False,1.3079992532730103,1
DeepFool,1053,False,0.38611918687820435,2
DeepFool,3331,False,1.2802807092666626,6
DeepFool,4061,False,0.6349262595176697,7
DeepFool,3113,False,0.7275209426879883,5
DeepFool,5469,False,1.140662670135498,6
DeepFool,1867,fail,1.6665819883346558,6
DeepFool,6026,False,0.0,7
DeepFool,5492,False,1.02580988407135,3
DeepFool,4782,False,0.6230494976043701,3
DeepFool,1693,False,0.9475386142730713,5
PGD,2772,False,0.570975124835968,5
PGD,1954,False,0.5648754239082336,5
PGD,5980,False,0.6050715446472168,0
PGD,1662,False,0.5917530059814453,6
PGD,779,False,0.5736204385757446,5
PGD,8976,False,0.5449143052101135,1
PGD,6064,False,0.6164979934692383,2
PGD,640,False,0.5433048009872437,1
PGD,5915,False,0.5680858492851257,1
PGD,929,False,0.5506418943405151,1
PGD,9834,False,0.6066123247146606,8
PGD,8653,False,0.5882230997085571,5
PGD,9960,False,0.5835314393043518,4
PGD,1391,False,0.5852628350257874,4
PGD,1057,False,0.5863637328147888,4
PGD,5033,False,0.6054333448410034,0
PGD,6791,False,0.5721921324729919,7
PGD,1978,False,0.583338737487793,4
PGD,1262,False,0.5823579430580139,2
PGD,366,False,0.5934799313545227,6
PGD,8677,False,0.5890345573425293,6
PGD,7028,False,0.5751237273216248,7
PGD,8117,False,0.6314127445220947,0
PGD,1829,False,0.5414726734161377,1
PGD,8683,False,0.6001611351966858,2
PGD,1164,False,0.5885928869247437,7
PGD,7580,False,0.5941859483718872,9
PGD,3536,False,0.6136382222175598,0
PGD,2358,False,0.5673226118087769,1
PGD,2525,False,0.5836060643196106,5
PGD,2012,False,0.5766448378562927,4
PGD,9163,False,0.6015447378158569,3
PGD,1573,False,0.5869770050048828,8
PGD,9498,False,0.6371803283691406,0
PGD,8904,False,0.5758141279220581,7
PGD,5416,False,0.5380986928939819,1
PGD,7445,False,0.5909423828125,7
PGD,3519,False,0.5917931199073792,8
PGD,9952,False,0.6213064789772034,0
PGD,9139,False,0.5951098799705505,8
PGD,2056,False,0.5924946665763855,8
PGD,7079,False,0.5813714861869812,7
PGD,8153,False,0.5953186750411987,2
PGD,8488,False,0.5654643177986145,1
PGD,5810,False,0.6166486740112305,6
PGD,3412,False,0.5913069248199463,0
PGD,6439,False,0.6284605860710144,2
PGD,9638,True,0.5779120922088623,9
PGD,9229,False,0.6048302054405212,3
PGD,2354,False,0.6142049431800842,2
PGD,9413,False,0.5895121097564697,7
PGD,371,False,0.6121976971626282,2
PGD,3019,False,0.5446609258651733,1
PGD,8228,False,0.609549343585968,0
PGD,8901,False,0.6206803321838379,6
PGD,9733,False,0.5885911583900452,9
PGD,3549,False,0.574873149394989,3
PGD,8883,False,0.5927780270576477,7
PGD,1681,False,0.5841603875160217,3
PGD,777,False,0.5520374774932861,1
PGD,8217,False,0.6147660613059998,8
PGD,8816,False,0.585727334022522,8
PGD,4832,False,0.585142195224762,6
PGD,8456,False,0.6253126859664917,8
PGD,8911,False,0.5790225863456726,7
PGD,9615,False,0.5950374603271484,4
PGD,6362,False,0.5900874137878418,4
PGD,3252,False,0.6017318367958069,6
PGD,7524,False,0.6288009881973267,8
PGD,1692,False,0.6332330107688904,0
PGD,424,False,0.6156133413314819,0
PGD,2009,True,0.5996459126472473,9
PGD,425,False,0.584343433380127,4
PGD,332,False,0.5557007193565369,1
PGD,5090,False,0.5491413474082947,1
PGD,5952,False,0.6141807436943054,0
PGD,5162,False,0.5587683320045471,7
PGD,5307,False,0.6217953562736511,0
PGD,9577,False,0.6025981903076172,2
PGD,6555,False,0.611243486404419,8
PGD,8262,False,0.5810521245002747,2
PGD,24,False,0.5603020787239075,4
PGD,9531,False,0.5886534452438354,6
PGD,8340,False,0.5452303290367126,1
PGD,2475,False,0.6165754795074463,2
PGD,2351,False,0.5900811553001404,3
PGD,1622,False,0.5629867911338806,9
PGD,1462,False,0.6238458156585693,2
PGD,1470,False,0.6153543591499329,8
PGD,2,False,0.5461974740028381,1
PGD,1053,False,0.6105629205703735,2
PGD,3331,False,0.5951136946678162,6
PGD,4061,False,0.573116660118103,7
PGD,3113,False,0.5916761755943298,5
PGD,5469,False,0.6326851844787598,6
PGD,1867,False,0.5564055442810059,1
PGD,6026,False,0.5590262413024902,7
PGD,5492,False,0.6280938386917114,3
PGD,4782,False,0.594531238079071,3
PGD,1693,False,0.5911561846733093,5
JSMA,2772,False,0.17008426785469055,5
JSMA,1954,False,0.0,5
JSMA,5980,False,1.1573498249053955,0
JSMA,1662,False,1.302968144416809,6
JSMA,779,False,1.0122339725494385,5
JSMA,8976,fail,1.4142135381698608,5
JSMA,6064,False,0.563090980052948,2
JSMA,640,False,0.3166469931602478,1
JSMA,5915,False,1.3362363576889038,1
JSMA,929,fail,1.4142135381698608,1
JSMA,9834,False,1.000492811203003,8
JSMA,8653,fail,1.4142135381698608,8
JSMA,9960,False,0.49005863070487976,4
JSMA,1391,False,1.0617804527282715,4
JSMA,1057,False,1.0003780126571655,4
JSMA,5033,fail,1.4142135381698608,4
JSMA,6791,False,1.3786228895187378,7
JSMA,1978,False,0.4755551815032959,4
JSMA,1262,False,0.37895891070365906,2
JSMA,366,False,1.0380301475524902,6
JSMA,8677,False,1.0000696182250977,6
JSMA,7028,False,1.009381651878357,7
JSMA,8117,fail,1.4142135381698608,7
JSMA,1829,False,1.0241771936416626,1
JSMA,8683,False,0.016687707975506783,2
JSMA,1164,False,1.0093555450439453,7
JSMA,7580,False,1.0000696182250977,9
JSMA,3536,fail,1.4142135381698608,9
JSMA,2358,False,0.4864431321620941,1
JSMA,2525,False,0.20380538702011108,5
JSMA,2012,False,1.0848770141601562,4
JSMA,9163,False,0.6600778102874756,3
JSMA,1573,False,0.4357682168483734,8
JSMA,9498,False,1.0504411458969116,0
JSMA,8904,False,1.0116217136383057,7
JSMA,5416,False,1.1171410083770752,1
JSMA,7445,fail,1.4142135381698608,1
JSMA,3519,False,1.0823897123336792,8
JSMA,9952,False,1.392187476158142,0
JSMA,9139,False,1.0003780126571655,8
JSMA,2056,False,1.3545655012130737,8
JSMA,7079,fail,1.4142135381698608,8
JSMA,8153,False,0.016687707975506783,2
JSMA,8488,False,0.6669745445251465,1
JSMA,5810,False,1.0017272233963013,6
JSMA,3412,False,0.2790449857711792,0
JSMA,6439,False,0.39990219473838806,2
JSMA,9638,False,0.18484118580818176,9
JSMA,9229,False,1.359906792640686,3
JSMA,2354,False,0.8761447668075562,2
JSMA,9413,False,0.7965748310089111,7
JSMA,371,False,0.016687707975506783,2
JSMA,3019,fail,1.4142135381698608,2
JSMA,8228,fail,1.4058945178985596,2
JSMA,8901,False,1.046888828277588,6
JSMA,9733,False,1.1352053880691528,9
JSMA,3549,False,1.3786228895187378,3
JSMA,8883,False,0.6391570568084717,7
JSMA,1681,False,0.08082256466150284,3
JSMA,777,False,0.2860071361064911,1
JSMA,8217,False,0.03722003474831581,8
JSMA,8816,False,1.0003780126571655,8
JSMA,4832,False,0.953231692314148,6
JSMA,8456,False,1.0799541473388672,8
JSMA,8911,False,0.3862033784389496,7
JSMA,9615,False,0.5718584656715393,4
JSMA,6362,fail,1.4142135381698608,4
JSMA,3252,False,1.359906792640686,6
JSMA,7524,False,0.756991982460022,8
JSMA,1692,fail,1.4142135381698608,8
JSMA,424,fail,1.4142135381698608,8
JSMA,2009,False,1.1136857271194458,9
JSMA,425,False,0.6572663187980652,4
JSMA,332,False,1.0011085271835327,1
JSMA,5090,False,1.0060099363327026,1
JSMA,5952,fail,1.4142135381698608,1
JSMA,5162,False,0.4107133746147156,7
JSMA,5307,False,1.0003780126571655,0
JSMA,9577,False,0.022203128784894943,2
JSMA,6555,False,1.0741605758666992,8
JSMA,8262,False,1.0104721784591675,2
JSMA,24,False,1.002771258354187,4
JSMA,9531,False,1.0310194492340088,6
JSMA,8340,fail,1.4142135381698608,6
JSMA,2475,False,0.463516503572464,2
JSMA,2351,False,0.5101765990257263,3
JSMA,1622,False,1.0229986906051636,9
JSMA,1462,False,0.17309710383415222,2
JSMA,1470,False,0.9415684938430786,8
JSMA,2,False,1.00784432888031,1
JSMA,1053,False,0.3415610194206238,2
JSMA,3331,False,1.3678629398345947,6
JSMA,4061,fail,1.4142135381698608,6
JSMA,3113,False,1.0540820360183716,5
JSMA,5469,False,0.8570910692214966,6
JSMA,1867,False,0.5774438381195068,1
JSMA,6026,False,0.1846773773431778,7
JSMA,5492,False,1.0000696182250977,3
JSMA,4782,False,0.016687707975506783,3
JSMA,1693,False,1.0246717929840088,5
OnePixel,2772,False,0.8698828816413879,5
OnePixel,1954,False,0.4048829972743988,5
OnePixel,5980,False,0.8925557136535645,0
OnePixel,1662,False,0.23795121908187866,6
OnePixel,779,False,0.9872047901153564,5
OnePixel,8976,False,0.9191083312034607,1
OnePixel,6064,False,0.45561617612838745,2
OnePixel,640,False,0.5253787040710449,1
OnePixel,5915,False,0.6886619329452515,1
OnePixel,929,False,0.9625579118728638,1
OnePixel,9834,False,0.9947502613067627,8
